step,train_loss,val_loss
0,4.3149,4.3216
500,1.9082,2.0072
1000,1.6393,1.8015
1500,1.5192,1.7060
2000,1.4466,1.6485
2500,1.3914,1.6037
3000,1.3543,1.5753
3500,1.3191,1.5637
4000,1.3005,1.5561
4500,1.2716,1.5409
5000,1.2500,1.5332
