step,train_loss,val_loss
0,4.2970,4.2934
500,2.0789,2.1298
1000,1.7776,1.9126
1500,1.6341,1.8090
2000,1.5453,1.7225
2500,1.4889,1.6826
3000,1.4526,1.6495
3500,1.4134,1.6274
4000,1.3894,1.6029
4500,1.3662,1.5824
5000,1.3483,1.5735
5500,1.3295,1.5594
6000,1.3148,1.5541
6500,1.3076,1.5442
7000,1.2861,1.5413
7500,1.2786,1.5423
8000,1.2674,1.5324
8500,1.2601,1.5320
